采购订单号,供应商代码,供应商名称,供应商等级,物料代码,物料名称,类型,单位,订单数量,单价,总金额,下单日期,预计交付日期,实际交付日期,状态,交期天数,备注
PO2026112948,SUP025,长春一汽配件,A级,P0061,智能投影仪 Lite,成品,台,500,1648.27,824135,2026/3/11,2026/4/10,,生产中,30,供应商正在生产
PO2026107572,SUP035,乌鲁木齐天山科技,B级,M0277,密封圈 硅胶O型圈,原材料,个,3000,10.76,32280,2026/6/12,2026/6/26,,待处理,14,
PO2026034225,SUP011,天津北方电子,A级,M0168,USB数据线 Type-C v3,半成品,根,1000,119.14,119140,2026/5/1,2026/5/6,,已确认,5,质量检验标准已确认
PO2026097742,SUP022,郑州中原电子,C级,M0173,显示屏 TFT 2.4寸 v3,半成品,块,200,18.99,3798,2026/2/11,2026/2/25,,已确认,14,质量检验标准已确认
PO2026091317,SUP035,乌鲁木齐天山科技,B级,M0279,说明书 用户手册 A5铜版,原材料,本,2500,12.48,31200,2026/4/9,2026/4/29,,生产中,20,关键物料加工中
PO2026106030,SUP007,南京盛达光电,A级,M0013,Zigbee模块,原材料,个,1000,155.62,155620,2026/1/29,2026/2/23,,已下达,25,
PO2026081020,SUP018,无锡精密机械,A级,M0225,排针 1.27mm 单排,原材料,个,5000,12.65,63250,2026/3/18,2026/3/28,,草稿,10,
PO2026044530,SUP035,乌鲁木齐天山科技,B级,P0020,燃气报警器,成品,个,1000,90.38,90380,2026/5/22,2026/6/21,,已下达,30,
PO2026111232,SUP002,东莞鑫盛塑胶,B级,M0160,MOSFET NMOS v3,半成品,颗,800,35.34,28272,2026/3/21,2026/4/10,,生产中,20,关键物料加工中
PO2026113212,SUP029,南昌华翔电子,A级,M0184,弹簧 压缩 v3,半成品,个,500,47.79,23895,2026/6/19,2026/6/29,,生产中,10,供应商正在生产
PO2026043811,SUP033,海口南海科技,B级,M0025,贴片电阻 1kΩ,原材料,颗,3000,143.58,430740,2026/3/3,2026/3/17,,已确认,14,物料生产排程中
PO2026055078,SUP033,海口南海科技,B级,M0204,电解电容 470μF 16V,原材料,颗,1500,12.91,19365,2026/3/5,2026/4/9,,已下达,35,
PO2026020689,SUP021,西安华创科技,A级,P0005,智能灯泡 暖白,成品,个,200,512.33,102466,2026/4/10,2026/5/1,,已确认,21,供应商已确认交期
PO2026087545,SUP013,青岛海润电子,C级,P0091,智能新风机,成品,台,50,1667.06,83353,2026/5/1,2026/5/26,2026/5/24,已完成,25,已转入可用库存
PO2026129358,SUP033,海口南海科技,B级,P0013,智能门锁 标准版,成品,把,1000,955.05,955050,2026/3/13,2026/3/31,,生产中,18,关键物料加工中
PO2026027625,SUP037,银川西夏科技,B级,M0010,DSP处理器,原材料,片,1500,24.82,37230,2026/1/11,2026/1/23,,部分发货,12,
PO2026066619,SUP011,天津北方电子,A级,P0098,智能中控屏,成品,台,200,2303.05,460610,2026/4/12,2026/4/22,,待处理,10,
PO2026129750,SUP010,重庆渝兴机械,B级,M0018,LED灯珠 RGB,原材料,颗,2500,25.97,64925,2026/4/27,2026/6/1,2026/6/9,已完成,35,批次检验通过
PO2026066122,SUP002,东莞鑫盛塑胶,B级,M0012,蓝牙模块 BLE5.2,原材料,个,5000,21.33,106650,2026/3/7,2026/3/21,,已确认,14,供应商已确认交期
PO2026066987,SUP025,长春一汽配件,A级,P0053,智能路由器 AX,成品,台,800,521.7,417360,2026/4/6,2026/5/6,,生产中,30,供应商正在生产
PO2026038141,SUP028,太原重工机械,B级,M0191,麦克风 MEMS v3,半成品,个,500,69.72,34860,2026/2/17,2026/2/22,,已下达,5,
PO2026085232,SUP037,银川西夏科技,B级,M0277,密封圈 硅胶O型圈,原材料,个,1000,12.97,12970,2026/5/24,2026/6/5,,生产中,12,供应商正在生产
PO2026015250,SUP030,贵阳西南科技,C级,M0100,珍珠棉内托 v2,原材料,个,500,111.01,55505,2026/2/28,2026/3/28,,生产中,28,供应商正在生产
PO2026070474,SUP030,贵阳西南科技,C级,P0041,智能台灯,成品,个,100,246.63,24663,2026/2/25,2026/3/7,2026/3/13,已完成,10,批次检验通过
PO2026042307,SUP030,贵阳西南科技,C级,M0117,螺丝 M3*8 不锈钢 v2,原材料,颗,2000,48.44,96880,2026/4/18,2026/5/8,,生产中,20,关键物料加工中
PO2026056159,SUP035,乌鲁木齐天山科技,B级,M0199,ARM Cortex-A53芯片 v4,半成品,片,800,85.69,68552,2026/2/17,2026/3/3,,待处理,14,
PO2026058280,SUP010,重庆渝兴机械,B级,M0145,电源模块 24V2A v3,原材料,个,2000,19.36,38720,2026/5/24,2026/6/18,,生产中,25,定制件制造阶段
PO2026090578,SUP029,南昌华翔电子,A级,M0250,电源管理IC MP2307DN,原材料,片,1500,11.93,17895,2026/6/12,2026/6/26,,生产中,14,供应商正在生产
PO2026068678,SUP029,南昌华翔电子,A级,M0174,触摸面板 电容式 v3,半成品,块,1500,11.62,17430,2026/3/18,2026/4/2,,待处理,15,
PO2026129532,SUP018,无锡精密机械,A级,M0092,晶振 32.768kHz v2,原材料,颗,1000,34.69,34690,2026/3/3,2026/3/17,,已确认,14,质量检验标准已确认
PO2026112088,SUP036,兰州黄河电子,A级,P0035,智能投影仪,成品,台,200,2527.13,505426,2026/3/30,2026/4/9,,已下达,10,
PO2026098037,SUP021,西安华创科技,A级,M0107,传感器模块 陀螺仪 v2,原材料,个,500,109.14,54570,2026/4/30,2026/5/20,,生产中,20,定制件制造阶段
PO2026044254,SUP005,苏州佳美电子,A级,P0022,无线开关,成品,个,200,71.7,14340,2026/5/3,2026/5/31,,生产中,28,供应商正在生产
PO2026057290,SUP013,青岛海润电子,C级,M0209,电感线圈 22μH 贴片,原材料,颗,2500,11.84,29600,2026/1/20,2026/1/25,,已下达,5,
PO2026098797,SUP012,大连远东科技,B级,M0225,排针 1.27mm 单排,原材料,个,2000,11.96,23920,2026/5/26,2026/6/13,2026/6/15,已完成,18,已转入可用库存
PO2026118837,SUP034,呼和浩特北方电子,C级,M0259,加速度传感器 MPU6050,原材料,个,3000,18.4,55200,2026/6/20,2026/7/20,2026/7/19,已发货,30,物流运输中-海运
PO2026015416,SUP002,东莞鑫盛塑胶,B级,P0085,智能筋膜枪,成品,台,800,1698.75,1359000,2026/3/25,2026/4/14,,生产中,20,定制件制造阶段
PO2026056610,SUP010,重庆渝兴机械,B级,M0090,贴片电阻 100Ω v2,原材料,颗,5000,20.4,102000,2026/2/23,2026/3/9,2026/3/14,已发货,14,物流运输中-海运
PO2026126631,SUP008,武汉华工科技,B级,M0163,包装彩盒(小) v3,半成品,个,800,48.76,39008,2026/2/3,2026/2/10,,已确认,7,供应商已确认交期
PO2026023825,SUP034,呼和浩特北方电子,C级,P0082,智能体温计,成品,台,100,1460.11,146011,2026/5/9,2026/6/6,2026/6/11,已发货,28,物流运输中-海运
PO2026127048,SUP033,海口南海科技,B级,P0039,智能耳机 TWS,成品,副,300,395.61,118683,2026/1/28,2026/2/25,,已确认,28,质量检验标准已确认
PO2026070870,SUP032,南宁南国电子,C级,M0053,螺丝 M3*8 不锈钢,原材料,颗,500,99.52,49760,2026/3/31,2026/4/25,,已下达,25,
PO2026077588,SUP007,南京盛达光电,A级,M0019,LED灯珠 暖白3000K,原材料,颗,5000,47.71,238550,2026/4/5,2026/5/5,2026/5/6,已发货,30,国内转运途中
PO2026022191,SUP025,长春一汽配件,A级,M0135,ARM Cortex-A53芯片 v3,原材料,片,1500,129.93,194895,2026/6/26,2026/7/24,2026/8/1,已完成,28,批次检验通过
PO2026089196,SUP013,青岛海润电子,C级,M0232,保险丝 自恢复 1A,原材料,个,1500,10.84,16260,2026/5/20,2026/6/1,,已下达,12,
PO2026032607,SUP008,武汉华工科技,B级,M0238,显示屏模组 IPS 15.6寸 4K,原材料,块,500,312,156000,2026/1/21,2026/2/11,,待处理,21,
PO2026031348,SUP018,无锡精密机械,A级,P0068,智能鼠标 静音版,成品,台,500,1228.03,614015,2026/1/9,2026/2/8,2026/2/12,已发货,30,物流运输中-海运
PO2026115162,SUP024,哈尔滨北方机械,C级,M0171,传感器模块 陀螺仪 v3,半成品,个,1000,123.04,123040,2026/3/5,2026/3/19,,部分发货,14,
PO2026042453,SUP012,大连远东科技,B级,M0287,缠绕膜 PE拉伸膜 50cm宽,原材料,卷,1000,59.18,59180,2026/1/18,2026/1/30,,待处理,12,
PO2026111087,SUP016,佛山顺德塑胶,A级,M0282,标签纸 条码标签 50x30mm,原材料,卷,2000,21.71,43420,2026/3/9,2026/4/3,,生产中,25,定制件制造阶段
PO2026069628,SUP001,深圳华腾电子,A级,M0263,PC罩 触摸板盖板,原材料,个,2500,21.05,52625,2026/6/3,2026/6/24,2026/6/23,已发货,21,物流运输中-海运
PO2026107425,SUP033,海口南海科技,B级,M0162,包装彩盒(中) v3,半成品,个,800,57.76,46208,2026/4/20,2026/4/30,,生产中,10,定制件制造阶段
PO2026113106,SUP004,广州恒达金属,C级,M0239,触摸屏 G+F 14寸,原材料,块,3000,136.64,409920,2026/3/18,2026/4/5,2026/4/7,已发货,18,海关报关处理中
PO2026108877,SUP002,东莞鑫盛塑胶,B级,P0015,智能门锁 青春版,成品,把,500,677.56,338780,2026/4/13,2026/5/28,,草稿,45,
PO2026057658,SUP013,青岛海润电子,C级,M0269,硅胶垫圈 密封圈 Φ20,原材料,个,500,12.95,6475,2026/2/7,2026/3/24,,已确认,45,物料生产排程中
PO2026075433,SUP035,乌鲁木齐天山科技,B级,M0258,光线传感器 BH1750,原材料,个,2500,12.27,30675,2026/5/8,2026/5/18,,已取消,10,
PO2026054924,SUP016,佛山顺德塑胶,A级,M0200,ARM Cortex-A35芯片 v4,半成品,片,200,56.75,11350,2026/5/16,2026/6/13,,已确认,28,供应商已确认交期
PO2026030703,SUP012,大连远东科技,B级,M0297,音频线 3.5mm公对公 1.5m,原材料,根,2000,11.42,22840,2026/3/4,2026/4/1,,生产中,28,定制件制造阶段
PO2026019649,SUP006,杭州明远科技,B级,M0265,不锈钢螺丝 M2*4 十字,原材料,颗,3000,10.74,32220,2026/2/5,2026/2/10,,已下达,5,
PO2026025591,SUP007,南京盛达光电,A级,P0036,智能行车记录仪,成品,台,100,568.06,56806,2026/5/10,2026/5/25,,待处理,15,
PO2026078350,SUP003,上海精密机械,A级,M0143,电源模块 5V2A v3,原材料,个,1500,91.06,136590,2026/1/28,2026/2/27,,已确认,30,物料生产排程中
PO2026062707,SUP032,南宁南国电子,C级,M0118,螺母 M3 v2,原材料,颗,500,46.79,23395,2026/5/18,2026/7/2,2026/7/4,已完成,45,质检合格入库
PO2026020884,SUP003,上海精密机械,A级,P0097,智能场景开关,成品,台,100,2423.53,242353,2026/4/21,2026/4/26,,生产中,5,定制件制造阶段
PO2026057607,SUP019,合肥创新科技,C级,M0261,ABS外壳 笔记本A面 14寸,原材料,个,1000,75.23,75230,2026/4/30,2026/5/14,2026/5/15,已完成,14,质检合格入库
PO2026113592,SUP004,广州恒达金属,C级,M0040,USB数据线 Type-C,原材料,根,5000,13.2,66000,2026/2/23,2026/3/5,,已下达,10,
PO2026048926,SUP023,济南恒泰科技,B级,P0040,智能充电座,成品,个,1000,139.16,139160,2026/4/25,2026/5/25,,生产中,30,定制件制造阶段
PO2026083869,SUP023,济南恒泰科技,B级,M0029,晶振 24MHz,原材料,颗,2500,24.86,62150,2026/2/14,2026/2/21,,部分到货,7,
PO2026124549,SUP022,郑州中原电子,C级,P0066,智能充电宝 20000mAh,成品,台,500,423.91,211955,2026/4/18,2026/5/9,,已下达,21,
PO2026053376,SUP009,成都科创电子,C级,M0048,锂电池 聚合物3000mAh,原材料,块,3000,34.73,104190,2026/1/21,2026/1/31,,已确认,10,供应商已确认交期
PO2026068216,SUP034,呼和浩特北方电子,C级,M0257,压力传感器 BMP280,原材料,个,1000,15.25,15250,2026/2/13,2026/3/15,,已下达,30,
PO2026088904,SUP018,无锡精密机械,A级,M0062,扬声器 3W,原材料,个,500,23.05,11525,2026/3/26,2026/4/15,,草稿,20,
PO2026077382,SUP030,贵阳西南科技,C级,M0030,整流二极管,原材料,颗,2000,136.02,272040,2026/6/30,2026/7/28,,部分发货,28,
PO2026123055,SUP017,宁波华通电子,B级,M0154,贴片电阻 100Ω v3,半成品,颗,2000,78.9,157800,2026/3/18,2026/4/17,2026/4/24,已发货,30,国内转运途中
PO2026107178,SUP007,南京盛达光电,A级,M0036,珍珠棉内托,原材料,个,1000,49.08,49080,2026/4/6,2026/5/11,,已发货,35,海关报关处理中
PO2026097971,SUP008,武汉华工科技,B级,M0108,显示屏 OLED 0.96寸 v2,原材料,块,3000,37.76,113280,2026/3/18,2026/3/28,,已确认,10,物料生产排程中
PO2026055199,SUP028,太原重工机械,B级,P0008,智能插座 电量版,成品,个,100,308.37,30837,2026/3/13,2026/3/31,,生产中,18,定制件制造阶段
PO2026068414,SUP007,南京盛达光电,A级,M0110,触摸面板 电容式 v2,原材料,块,5000,95.56,477800,2026/5/27,2026/6/1,,已下达,5,
PO2026069090,SUP023,济南恒泰科技,B级,P0048,智能洗衣机,成品,台,500,1418.19,709095,2026/2/4,2026/2/22,,已下达,18,
PO2026037759,SUP003,上海精密机械,A级,M0180,螺丝 M2*6 不锈钢 v3,半成品,颗,500,34.68,17340,2026/1/19,2026/2/13,,已下达,25,
PO2026053019,SUP001,深圳华腾电子,A级,M0057,磁铁 钕磁铁 10x2mm,原材料,片,1000,94.07,94070,2026/4/23,2026/6/7,,已下达,45,
PO2026098968,SUP032,南宁南国电子,C级,M0016,电源模块 12V1A,原材料,个,1000,84.3,84300,2026/4/17,2026/5/17,2026/5/18,已完成,30,质检合格入库
PO2026108088,SUP025,长春一汽配件,A级,M0022,电解电容 220μF,原材料,颗,3000,15.44,46320,2026/3/22,2026/4/16,,部分发货,25,
PO2026011917,SUP026,沈阳航天电子,B级,M0289,助焊剂 RMA型 松香基,原材料,瓶,3000,43.37,130110,2026/3/10,2026/3/22,,部分发货,12,
PO2026123927,SUP027,石家庄华北科技,C级,M0177,纽扣电池 CR2032 v3,半成品,颗,500,19.11,9555,2026/3/27,2026/5/1,,草稿,35,
PO2026021267,SUP033,海口南海科技,B级,M0062,扬声器 3W,原材料,个,2000,22.27,44540,2026/1/12,2026/1/17,,草稿,5,
PO2026032930,SUP004,广州恒达金属,C级,M0066,PC透明罩 v2,原材料,个,1500,127.51,191265,2026/2/12,2026/2/17,,生产中,5,供应商正在生产
PO2026049435,SUP023,济南恒泰科技,B级,P0091,智能新风机,成品,台,300,1746.51,523953,2026/1/13,2026/2/3,,生产中,21,定制件制造阶段
PO2026014776,SUP025,长春一汽配件,A级,M0218,MOS管 AO3400 N沟道,原材料,颗,500,13.05,6525,2026/1/30,2026/3/16,,已发货,45,物流运输中-海运
PO2026057704,SUP012,大连远东科技,B级,M0275,滑轨 抽屉滑轨 200mm,原材料,套,1500,23.91,35865,2026/4/1,2026/4/26,,部分到货,25,
PO2026021996,SUP013,青岛海润电子,C级,M0250,电源管理IC MP2307DN,原材料,片,2500,10.63,26575,2026/4/11,2026/4/29,,已确认,18,供应商已确认交期
PO2026126601,SUP034,呼和浩特北方电子,C级,M0264,铝合金件 键盘支架,原材料,个,3000,45.41,136230,2026/4/4,2026/4/24,,部分发货,20,
PO2026012996,SUP013,青岛海润电子,C级,M0239,触摸屏 G+F 14寸,原材料,块,500,147.18,73590,2026/3/3,2026/4/17,,已取消,45,
PO2026012519,SUP020,福州东南电子,B级,P0061,智能投影仪 Lite,成品,台,1000,1758.64,1758640,2026/4/11,2026/5/26,2026/6/3,已完成,45,已转入可用库存
PO2026080997,SUP023,济南恒泰科技,B级,P0090,智能除湿机,成品,台,100,826.84,82684,2026/3/12,2026/3/19,,部分到货,7,
PO2026079969,SUP021,西安华创科技,A级,M0132,PCB主板 v3,原材料,块,2000,63.16,126320,2026/4/8,2026/4/29,,已确认,21,质量检验标准已确认
PO2026086498,SUP017,宁波华通电子,B级,P0070,智能台灯 护眼版,成品,台,300,249.25,74775,2026/1/31,2026/2/14,,已下达,14,
PO2026094998,SUP002,东莞鑫盛塑胶,B级,M0005,PCB副板,原材料,块,500,54.01,27005,2026/1/4,2026/2/18,,部分发货,45,
PO2026047268,SUP013,青岛海润电子,C级,M0135,ARM Cortex-A53芯片 v3,原材料,片,2000,135.89,271780,2026/5/6,2026/6/5,,待处理,30,
PO2026083937,SUP012,大连远东科技,B级,M0260,陀螺仪 L3G4200D,原材料,个,1000,24.75,24750,2026/2/7,2026/2/22,,已发货,15,国内转运途中
PO2026118884,SUP015,长沙中联科技,B级,P0090,智能除湿机,成品,台,100,757.67,75767,2026/2/12,2026/3/12,,部分发货,28,
PO2026043856,SUP022,郑州中原电子,C级,M0138,DSP处理器 v3,原材料,片,500,23.53,11765,2026/3/12,2026/3/19,,生产中,7,供应商正在生产
PO2026076047,SUP035,乌鲁木齐天山科技,B级,M0237,显示屏模组 IPS 14寸 FHD,原材料,块,2000,249.68,499360,2026/4/22,2026/4/29,,草稿,7,
PO2026110827,SUP002,东莞鑫盛塑胶,B级,M0019,LED灯珠 暖白3000K,原材料,颗,1500,46.7,70050,2026/2/1,2026/2/22,2026/3/2,已完成,21,批次检验通过
PO2026058186,SUP016,佛山顺德塑胶,A级,P0012,智能网关 Mini,成品,台,500,446.28,223140,2026/2/22,2026/3/8,,生产中,14,定制件制造阶段
PO2026101397,SUP004,广州恒达金属,C级,M0147,LED灯珠 暖白3000K v3,原材料,颗,1000,56.74,56740,2026/5/31,2026/6/28,,部分到货,28,
PO2026041413,SUP023,济南恒泰科技,B级,M0164,珍珠棉内托 v3,半成品,个,2000,41.05,82100,2026/5/15,2026/5/20,,部分到货,5,
PO2026097880,SUP032,南宁南国电子,C级,M0190,扬声器 3W v3,半成品,个,800,18.05,14440,2026/1/26,2026/2/25,,已下达,30,
PO2026093660,SUP036,兰州黄河电子,A级,P0076,智能拖地机器人,成品,台,100,1833.74,183374,2026/5/6,2026/5/11,,部分到货,5,
PO2026094602,SUP017,宁波华通电子,B级,M0141,Zigbee模块 v3,原材料,个,2000,109.63,219260,2026/6/13,2026/6/28,,草稿,15,
PO2026113245,SUP035,乌鲁木齐天山科技,B级,P0024,旋钮开关 调光,成品,个,50,156.48,7824,2026/4/4,2026/5/4,,已取消,30,
PO2026114888,SUP036,兰州黄河电子,A级,M0056,弹簧 压缩,原材料,个,1500,111.1,166650,2026/2/27,2026/3/9,2026/3/11,已完成,10,批次检验通过
PO2026080753,SUP031,昆明昆电科技,B级,M0034,包装彩盒(中),原材料,个,5000,94.08,470400,2026/4/25,2026/5/7,,已下达,12,
PO2026080623,SUP004,广州恒达金属,C级,M0035,包装彩盒(小),原材料,个,2000,72.3,144600,2026/4/13,2026/4/18,,已确认,5,质量检验标准已确认
PO2026129257,SUP006,杭州明远科技,B级,M0250,电源管理IC MP2307DN,原材料,片,1000,11.92,11920,2026/3/1,2026/3/8,,部分到货,7,
PO2026092553,SUP011,天津北方电子,A级,M0199,ARM Cortex-A53芯片 v4,半成品,片,2000,95.94,191880,2026/4/30,2026/5/15,,已确认,15,供应商已确认交期
PO2026129796,SUP001,深圳华腾电子,A级,P0011,智能网关 Pro,成品,台,300,692.63,207789,2026/3/18,2026/3/25,,生产中,7,关键物料加工中
PO2026106361,SUP024,哈尔滨北方机械,C级,M0006,FPC柔性排线,原材料,根,2000,11.71,23420,2026/1/26,2026/2/2,,已发货,7,海关报关处理中
PO2026039022,SUP009,成都科创电子,C级,M0296,数据线 USB-C to C 1m,原材料,根,5000,10.76,53800,2026/1/5,2026/1/25,,已确认,20,供应商已确认交期
PO2026074985,SUP024,哈尔滨北方机械,C级,M0113,纽扣电池 CR2032 v2,原材料,颗,2500,115.82,289550,2026/1/6,2026/1/31,,生产中,25,关键物料加工中
PO2026043248,SUP025,长春一汽配件,A级,P0090,智能除湿机,成品,台,100,687.63,68763,2026/3/9,2026/4/3,,已发货,25,国内转运途中
PO2026099696,SUP007,南京盛达光电,A级,M0209,电感线圈 22μH 贴片,原材料,颗,2500,12.56,31400,2026/1/31,2026/2/28,,生产中,28,关键物料加工中
PO2026116467,SUP028,太原重工机械,B级,M0280,保修卡 三联单,原材料,张,1000,11.25,11250,2026/3/23,2026/4/20,,已确认,28,物料生产排程中
PO2026106260,SUP011,天津北方电子,A级,M0144,电源模块 12V1A v3,原材料,个,1000,97.49,97490,2026/5/26,2026/6/30,,生产中,35,供应商正在生产
PO2026035544,SUP022,郑州中原电子,C级,P0063,智能手环 Fit,成品,台,500,2260.78,1130390,2026/1/14,2026/1/19,,已下达,5,
PO2026068761,SUP036,兰州黄河电子,A级,M0031,TVS保护二极管,原材料,颗,5000,94.11,470550,2026/4/14,2026/5/12,,已取消,28,
PO2026044161,SUP019,合肥创新科技,C级,P0077,智能晾衣架,成品,台,500,1279.26,639630,2026/1/11,2026/2/1,,生产中,21,定制件制造阶段
PO2026044756,SUP035,乌鲁木齐天山科技,B级,M0286,托盘 纸托盘 14寸专用,原材料,个,1000,13.26,13260,2026/6/5,2026/7/20,2026/7/28,已发货,45,物流运输中-海运
PO2026037419,SUP033,海口南海科技,B级,M0227,插座 音频耳机座 3.5mm,原材料,个,5000,11.13,55650,2026/1/13,2026/2/2,,部分到货,20,
PO2026113079,SUP033,海口南海科技,B级,M0071,ARM Cortex-A53芯片 v2,原材料,片,500,133.06,66530,2026/1/23,2026/2/10,,部分到货,18,
PO2026028046,SUP007,南京盛达光电,A级,M0232,保险丝 自恢复 1A,原材料,个,500,10.52,5260,2026/3/14,2026/3/19,,已下达,5,
PO2026083585,SUP005,苏州佳美电子,A级,M0224,排针 2.54mm 2x40P,原材料,个,2000,11.43,22860,2026/4/27,2026/6/1,,已取消,35,
PO2026027762,SUP005,苏州佳美电子,A级,P0021,水浸传感器,成品,个,500,310.73,155365,2026/5/16,2026/5/21,,草稿,5,
PO2026010464,SUP001,深圳华腾电子,A级,P0097,智能场景开关,成品,台,1000,2367.04,2367040,2026/3/3,2026/3/8,2026/3/7,已发货,5,海关报关处理中
PO2026121925,SUP036,兰州黄河电子,A级,M0142,LoRa模块 v3,原材料,个,2500,34.64,86600,2026/1/3,2026/1/10,,待处理,7,
PO2026049351,SUP007,南京盛达光电,A级,M0083,LED灯珠 暖白3000K v2,原材料,颗,1500,37.54,56310,2026/5/23,2026/7/7,,部分发货,45,
PO2026029507,SUP030,贵阳西南科技,C级,M0077,Zigbee模块 v2,原材料,个,5000,137.99,689950,2026/2/7,2026/2/21,,已确认,14,质量检验标准已确认
PO2026117345,SUP027,石家庄华北科技,C级,P0087,智能香薰机,成品,台,200,354.49,70898,2026/1/20,2026/2/10,,部分发货,21,
PO2026125084,SUP036,兰州黄河电子,A级,M0219,MOS管 SI2302 P沟道,原材料,颗,2500,13.17,32925,2026/4/6,2026/5/6,,部分到货,30,
PO2026123213,SUP026,沈阳航天电子,B级,M0106,传感器模块 气压 v2,原材料,个,1500,65.57,98355,2026/4/24,2026/5/8,,生产中,14,定制件制造阶段
PO2026019676,SUP019,合肥创新科技,C级,M0054,螺母 M3,原材料,颗,2500,46.66,116650,2026/6/26,2026/7/3,,部分到货,7,
PO2026129978,SUP001,深圳华腾电子,A级,P0093,智能门磁,成品,台,1000,180.71,180710,2026/2/27,2026/3/11,2026/3/9,已完成,12,质检合格入库
PO2026126159,SUP028,太原重工机械,B级,M0178,继电器 5V v3,半成品,个,200,97.84,19568,2026/5/17,2026/6/14,2026/6/19,已发货,28,海关报关处理中
PO2026022222,SUP026,沈阳航天电子,B级,M0194,PC透明罩 v4,半成品,个,1000,20.5,20500,2026/5/29,2026/6/5,,已确认,7,质量检验标准已确认
PO2026109283,SUP030,贵阳西南科技,C级,M0081,电源模块 24V2A v2,原材料,个,5000,106.6,533000,2026/1/7,2026/2/4,2026/2/7,已发货,28,国内转运途中
PO2026126174,SUP030,贵阳西南科技,C级,M0182,螺母 M3 v3,半成品,颗,800,123.69,98952,2026/4/19,2026/5/4,2026/5/11,已发货,15,国内转运途中
PO2026069838,SUP032,南宁南国电子,C级,M0238,显示屏模组 IPS 15.6寸 4K,原材料,块,2000,334.52,669040,2026/6/27,2026/7/25,2026/7/22,已发货,28,海关报关处理中
PO2026017576,SUP003,上海精密机械,A级,M0163,包装彩盒(小) v3,半成品,个,2000,56.36,112720,2026/5/15,2026/5/25,,已下达,10,
PO2026124067,SUP031,昆明昆电科技,B级,P0089,智能暖风机,成品,台,100,2127.08,212708,2026/2/27,2026/3/24,,已下达,25,
PO2026084629,SUP006,杭州明远科技,B级,P0090,智能除湿机,成品,台,800,802.97,642376,2026/4/22,2026/5/12,,生产中,20,供应商正在生产
PO2026075536,SUP004,广州恒达金属,C级,M0230,变压器 EE25 高频,原材料,个,2000,14.38,28760,2026/5/20,2026/6/4,,已确认,15,质量检验标准已确认
PO2026070050,SUP024,哈尔滨北方机械,C级,P0058,智能烟雾报警器,成品,台,100,556.07,55607,2026/4/28,2026/5/10,,已下达,12,
PO2026043570,SUP022,郑州中原电子,C级,M0002,PC透明罩,原材料,个,2500,75.23,188075,2026/6/24,2026/7/15,,部分到货,21,
PO2026118322,SUP001,深圳华腾电子,A级,M0269,硅胶垫圈 密封圈 Φ20,原材料,个,1000,13.45,13450,2026/6/23,2026/7/3,,部分到货,10,
PO2026065467,SUP032,南宁南国电子,C级,P0086,智能护眼仪,成品,台,300,863.39,259017,2026/2/25,2026/3/2,,生产中,5,关键物料加工中
PO2026093528,SUP003,上海精密机械,A级,M0256,湿度传感器 DHT22,原材料,个,2000,12.3,24600,2026/5/30,2026/6/29,,待处理,30,
PO2026129851,SUP001,深圳华腾电子,A级,P0071,智能加湿器,成品,台,300,538.95,161685,2026/6/25,2026/7/23,,部分到货,28,
PO2026064621,SUP020,福州东南电子,B级,M0116,螺丝 M2*6 不锈钢 v2,原材料,颗,1500,32.91,49365,2026/5/25,2026/7/9,,生产中,45,供应商正在生产
PO2026080051,SUP035,乌鲁木齐天山科技,B级,P0027,窗帘轨道 3m,成品,根,200,148.95,29790,2026/4/12,2026/5/2,,待处理,20,
PO2026127207,SUP011,天津北方电子,A级,P0064,智能手表 Sport,成品,台,200,1697.47,339494,2026/6/11,2026/6/26,2026/6/27,已发货,15,海关报关处理中
PO2026046923,SUP004,广州恒达金属,C级,M0192,蜂鸣器 有源 v3,半成品,个,1500,42.49,63735,2026/4/17,2026/4/27,,部分到货,10,
PO2026126420,SUP012,大连远东科技,B级,M0234,热敏电阻 NTC 5D-9,原材料,颗,1500,10.53,15795,2026/6/5,2026/6/23,,已下达,18,
PO2026118069,SUP006,杭州明远科技,B级,M0030,整流二极管,原材料,颗,3000,117.65,352950,2026/1/26,2026/2/10,2026/2/14,已完成,15,质检合格入库
PO2026011034,SUP005,苏州佳美电子,A级,P0047,智能洗碗机,成品,台,500,1058.82,529410,2026/4/29,2026/5/6,,草稿,7,
PO2026069997,SUP011,天津北方电子,A级,M0294,线束 内部连接线束,原材料,根,3000,13.17,39510,2026/5/2,2026/6/6,,待处理,35,
PO2026099966,SUP002,东莞鑫盛塑胶,B级,M0282,标签纸 条码标签 50x30mm,原材料,卷,1000,20.49,20490,2026/3/4,2026/3/11,,已取消,7,
PO2026106515,SUP021,西安华创科技,A级,M0017,电源模块 24V2A,原材料,个,500,79.01,39505,2026/3/21,2026/4/8,,待处理,18,
PO2026111473,SUP016,佛山顺德塑胶,A级,M0243,指纹模块 电容式,原材料,个,1500,30.69,46035,2026/5/4,2026/6/3,,已确认,30,供应商已确认交期
PO2026024569,SUP023,济南恒泰科技,B级,M0209,电感线圈 22μH 贴片,原材料,颗,1500,11.4,17100,2026/1/22,2026/2/26,,已取消,35,
PO2026043383,SUP024,哈尔滨北方机械,C级,M0175,锂电池 18650 v3,半成品,节,1500,38.79,58185,2026/3/19,2026/4/18,,部分到货,30,
